track_names,first_artists,lyrics
Coming Down,Dum Dum Girls,"12 ContributorsComing Down Lyrics
Oh

I take as much as I can get
I don't take any regret
I close my eyes to conjure up something
But it's just a faint taste in my mouth

I think I'm coming down
I think I'm coming down

By tomorrow, I'll be leaving
By tomorrow, I'll gone
If you want to tell me something
You had better make it strong

'Cause I think I'm coming down
I think I'm coming down
I think I'm coming down
I think I'm coming down

I think I'm coming down (There I go)
I think I'm coming down (There I go)
I think I'm coming down (There I go)
I think I'm coming down
There I go
There I go
You might also like
You abuse the ones who love you
You abuse the ones who won't
If you ever had a real heart
I don't think you'd know where to start

'Cause I think I'm coming down
I think I'm coming down
I think I'm coming down
Yeah, I think I'm coming down

Yes, I think I'm coming down
Yes, I think I'm coming down2Embed"
Somebody Else,The 1975,"118 ContributorsTranslationsTürkçeEspañolPolskiPortuguêsSomebody Else Lyrics
So I heard you found somebody else
And at first, I thought it was a lie
I took all my things that make sounds
The rest I can do without

I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else (Else, else...)

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

And c'mon baby (I know)
This ain't the last time that I'll see your face
And c'mon baby (I know)
You said you'd find someone to take my place (Place, place)
I just don't believe that you have got it in you
'Cause we are just gonna keep “Doin' it” and every time
I start to believe in anything you're saying
I'm reminded that I should be gettin' over it
You might also like
I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else (Else, else...)

I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
I don't want your body (I don't want your body)
But I hate to think about you with somebody else
(I don't want your body)
Our love has gone cold
You're intertwining your soul with somebody else
(I don't want your body)
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
(I don't want your body)
No, I don't want your body (I don't want your body)
But I'm picturing your body with somebody else
(I don't want your body)141Embed"
Real Pain,Indigo De Souza,"
When pain is real, you cannot run
You can cover, but come undone
And love might go, but is not gone
I still know you, I still know you
When love is real, you cannot sit
You can hover, but never quit
And carry on, as you were
I still feel you, I still feel you
I don't believe the things I've done
I don't believe the weight I've been
Going
Going
Going
Going
Going
Going
Going
Going
Going
Going
I wanna kick, wanna scream, I wanna know it's not my fault
I wanna know it's not my fault, I didn't mean it
I wanna kick, wanna scream, I wanna know it's not my fault
I wanna know it's not my fault, I didn't mean it
"
exile (feat. Bon Iver),Taylor Swift,"I can see you standing, honey
With his arms around your body
Laughin', but the joke's not funny at all
And it took you five whole minutes
To pack us up and leave me with it
Holdin' all this love out here in the hall
I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town
Now I'm in exile, seein' you out
I think I've seen this film before
I can see you starin', honey
Like he's just your understudy
Like you'd get your knuckles bloody for me
Second, third, and hundredth chances
Balancin' on breaking branches
Those eyes add insult to injury
I think I've seen this film before
And I didn't like the ending
I'm not your problem anymore
So who am I offending now?
You were my crown
Now I'm in exile, seein' you out
I think I've seen this film before
So I'm leavin' out the side door
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (you didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (never learned to read my mind)
I couldn't turn things around (you never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
So many signs, so many signs
You didn't even see the signs
I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town
Now I'm in exile, seein' you out
I think I've seen this film before
So I'm leavin' out the side door
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (never learned to read my mind)
I couldn't turn things around (you never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
All this time (so many signs)
I never learned to read your mind (so many signs)
I couldn't turn things around (I couldn't turn things around)
'Cause you never gave a warning sign (you never gave a warning sign)
You never gave a warning sign
Ah, ah"
Skinny Love,Bon Iver,"104 ContributorsTranslationsDeutschSkinny Love Lyrics
Come on, skinny love, just last the year
Pour a little salt, we were never here
My my my, my my my, my my
Staring at the sink of blood and crushed veneer
I tell my love to wreck it all
Cut out all the ropes and let me fall
My my my, my my my, my my
Right in this moment, this order's tall

And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And in the morning I'll be with you
But it will be a different kind
And I'll be holding all the tickets
And you'll be owning all the fines

Come on, skinny love, what happened here?
Suckle on the hope in light brassieres
My my my, my my my, my my
Sullen load is full, so slow on the split
You might also like
And I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kind
And now all your love is wasted
And then who the hell was I?
And I'm breaking at the britches
And at the end of all your lines

Who will love you?
Who will fight?
Who will fall far behind?163Embed"
Souvenir,boygenius,"47 ContributorsTranslationsPortuguêsEspañolSouvenir Lyrics
Dreamcatcher on the rearview mirror
Hasn't caught a thing yet
Twenty dollars and a souvenir
Anything's worth trying

To stay out of your nightmares
See, I was in your dream last night
Always end up dying
You said, because of course I did

Ooh
Ooh

Always managed to move in
Right next to cemeteries
And never far from a hospital
I don't know what that tells you about me

Pulling thorns out of my palm
Work a midnight surgery
When you cut a hole into my skull
Do you hate what you see like I do?
You might also like
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh11Embed"
"You Needed Love, I Needed You",Angelo De Augustine,"8 ContributorsYou Needed Love, I Needed You Lyrics
I don't have a car
To drive around in
I just have a heart
That I walk about in
I walk around

If I could I'd buy
You a house in Laurel Canyon
Underneath the moon above
In the shade of the mountain
I walk around

Life's been hard and you've lived a few
Did I give too much love to you?
I'm sorry but it's what I had to do
You needed love
I needed you
So I walk around

Back in my hometown
Looking for a silver Honda
But there's too many all around
And I fear I'll never find you
So I walk around
You might also like
Hoping that one day
I'll see you driving up my street again
On your grandpa's bicycle
With your long hair blowing in the wind
And we'll walk around

Life's been hard and you've lived a few
Did I give too much love to you?
I'm sorry but it's what I had to do
You needed love
I needed you

Life's been hard and you've lived a few
Did I give too much love to you?
I'm sorry but it's what I had to do
You needed love
I needed you2Embed"
Will Anybody Ever Love Me?,Sufjan Stevens,"22 ContributorsWill Anybody Ever Love Me? Lyrics
Chase away my heart and heartache
Run me over, throw me over, cast me out
Find a river running to the west wind
Just above the shoreline you will see a cloud

Tie me to a tiny wooden raft
Burn my body, point me to the undertow
Push me off into the void at last
Watch me drift and watch me struggle, let me go
'Cause I really wanna know

Will anybody ever love me? (Love me)
For good reasons
Without grievance, not for sport
Will anybody ever love me?  (Love me)
In every season
Pledge allegiance to my heart
Pledge allegiance to my burning heart

Hello, wildness, please forgive me now
For the heartache and the misery I create
Take my suffering as I take my vow
Wash me now, anoint me with that golden blade
You might also like
Tie me to the final wooden stake (Oh, ooh-ooh)
Burn my body, celebrate the afterglow (Afterglow)
Wash away the summer sins I made (Oh, ooh-ooh)
Watch me drift and watch me struggle, let me go (Let me go)
'Cause I really wanna know

Will anybody ever love me? (Love me)
For good reasons
Without grievance, not for sport (Not for sport)
Will anybody ever love me? (Love me)
In every season
Pledge allegiance to my heart (To my heart)
In every season
Pledge allegiance to my heart (To my heart)

My burning heart
My burning heart
My burning heart
(Will anybody ever love me? Love me)
My burning heart
(Will anybody ever love me? Love me)
My burning heart
(Will anybody ever love me? Love me)
My burning heart3Embed"
High And Dry,Radiohead,"79 ContributorsTranslationsEspañolHigh and Dry Lyrics
Two jumps in a week, I bet you
Think that's pretty clever, don't you, boy
Flying on your motorcycle
Watching all the ground beneath you drop
You'd kill yourself for recognition
Kill yourself to never, ever stop
You broke another mirror
You're turning into something you are not

Don't leave me high
Don't leave me dry
Don't leave me high
Don't leave me dry

Drying up in conversation
You will be the one who cannot talk
All your insides fall to pieces
You just sit there wishing you could still make love
They're the ones who'll hate you
When you think you've got the world all sussed out
They're the ones who'll spit at you
You will be the one screaming out
You might also like
Don't leave me high
Don't leave me dry
Don't leave me high
Don't leave me dry


Oh, it's the best thing that you've ever had
The best thing that you've ever, ever had
It's the best thing that you've ever had
The best thing you've had has gone away

So don't leave me high
Don't leave me dry
Don't leave me high
Don't leave me dry
Don't leave me high
Don't leave me high
Don't leave me dry64Embed"
Between the Bars,Elliott Smith,"78 ContributorsTranslationsFrançaisBetween the Bars Lyrics
Drink up, baby, stay up all night
With the things you could do, you won't but you might
The potential you'll be, that you'll never see
The promises you'll only make
Drink up with me now and forget all about
The pressure of days, do what I say
And I'll make you okay and drive them away
The images stuck in your head

People you've been before that you
Don't want around anymore
That push and shove and won't bend to your will
I'll keep them still

Drink up, baby, look at the stars
I'll kiss you again, between the bars
Where I'm seeing you there, with your hands in the air
Waiting to finally be caught
Drink up one more time and I'll make you mine
Keep you apart, deep in my heart
Separate from the rest, where I like you the best
And keep the things you forgot
You might also like
The people you've been before that you
Don't want around anymore
That push and shove and won't bend to your will
I'll keep them still79Embed"
Angels,The xx,"44 ContributorsAngels Lyrics
Light reflects from your shadow
It is more than I thought could exist
You move through the room
Like breathing was easy
If someone believed me

They would be as in love with you as I am
They would be as in love with you as I am
They would be as in love with you as I am
They would be in love, love, love

And every day
I am learning about you
The things that no one else sees
And the end comes too soon
Like dreaming of angels
And leaving without them
And leaving without them

Being as in love with you as I am
Being as in love with you as I am
Being as in love with you as I am
Being as in love, love, love
Love, love, love
Love, love, love
You might also like
And with words unspoken
A silent devotion
I know you know what I mean
And the end is unknown
But I think I'm ready
As long as you're with me

Being as in love with you as I am
Being as in love with you as I am
Being as in love with you as I am
Being as in love, love, love80Embed"
hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,"190 ContributorsTranslationsEspañolFrançaisΕλληνικάPortuguêsItalianoTürkçePolskiСрпскиTürkçeDeutschУкраїнська​hope is a dangerous thing for a woman like me to have - but i have it Lyrics
I was reading Slim Aarons and I got to thinking that I thought
Maybe I'd get less stressed if I was tested less like
All of these debutantes
Smiling for miles in pink dresses and high heels on white yachts
But I'm not, baby, I'm not
No, I'm not, that, I'm not

I've been tearing around in my fucking nightgown
24/7 Sylvia Plath
Writing in blood on my walls
'Cause the ink in my pen don't work in my notepad
Don't ask if I'm happy, you know that I'm not
But at best, I can say I'm not sad
'Cause hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have

I had 15-year dances
Church basement romances, yeah, I've cried
Spilling my guts with the Bowery Bums
Is the only love I've ever known
Except for the stage, which I also call home, when I'm not
Servin' up God in a burnt coffee pot for the triad
Hello, it's the most famous woman you know on the iPad
Calling from beyond the grave, I just wanna say, ""Hi, Dad""
See Lana Del Rey LiveGet tickets as low as $44You might also like
I've been tearing up town in my fucking white gown
Like a goddamn near sociopath
Shaking my ass is the only thing that's
Got this black narcissist off my back
She couldn't care less, and I never cared more
So there's no more to say about that
Except hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman with my past

There's a new revolution, a loud evolution that I saw
Born of confusion and quiet collusion of which mostly I've known
A modern day woman with a weak constitution, 'cause I've got
Monsters still under my bed that I could never fight off
A gatekeeper carelessly dropping the keys on my nights off

I've been tearing around in my fucking nightgown
24/7 Sylvia Plath
Writing in blood on your walls
'Cause the ink in my pen don't look good in my pad
They write that I'm happy, they know that I'm not
But at best, you can see I'm not sad
But hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have
But I have it
Yeah, I have it
Yeah, I have it
I have151Embed"
cellophane,FKA twigs,"87 ContributorsTranslationsFrançaisPortuguês​cellophane Lyrics
Didn't I do it for you?
Why don’t I do it for you?
Why won't you do it for me
When all I do is for you?

They wanna see us, wanna see us alone
They wanna see us, wanna see us apart
They wanna see us, wanna see us alone
They wanna see us, wanna see us apart

And I just want to feel you're there
And I don’t want to have to share our love
I try, but I get overwhelmed
When you're gone, I have no one to tell
And I just want to feel you're there
And I don't want to have to share our love
I try, but I get overwhelmed
All wrapped in cellophane, the feelings that we had

And didn't I do it for you?
Why don't I do it for you?
Why won't you do it for me
When all I do is for you?
And didn't I do it for you?
Why won’t I do it for you?
Why won’t you do it for me
When all I do is for you?
You might also like
But I just want to feel you're there
And I don’t want to have to share our love
I try, but I get overwhelmed
When you're gone, I have no one to tell

They're waiting
They're watching
They’re watching us
They're hating
They're waiting
And hoping
I'm not enough74Embed"
Wasting My Young Years,London Grammar,"20 ContributorsWasting My Young Years Lyrics
You crossed this line
Do you find it hard to sit with me tonight?
I've walked these miles, but I've walked them straight lined
You'll never know what it's like to be
Fine

And I'm wasting my young years
It doesn't matter if I'm chasing old ideas
It doesn't matter if, maybe, we are, we are
Maybe I'm wasting my young years
Maybe, we are, we are
Maybe I'm wasting my young years

Don't you know that it's only fear?
And I wouldn't worry, you have all your life
I've heard it takes some time to get it right

I'm wasting my young years
It doesn't matter if I'm chasing old ideas
It doesn't matter if, maybe, we are, we are
Maybe I'm wasting my young years
Maybe, we are, we are
Maybe I'm wasting my young years
See London Grammar LiveGet tickets as low as $237You might also like
I don't know what you want
Don't leave me hanging on
I don't know what you want
Don't leave me hanging on24Embed"
Only Ones Who Know,Arctic Monkeys,"57 ContributorsTranslationsPortuguêsFrançaisOnly Ones Who Know Lyrics
In a foreign place, the saving grace was the feeling
That it was a heart that he was stealing
Oh, he was ready to impress and the fierce excitement
The eyes are bright, he couldn't wait to get away
And I bet that Juliet was just the icing on the cake
Make no mistake, no

And even if somehow we could have
Shown you the place you wanted
Well, I'm sure you could have
Made it that bit better on your own

And I bet she told a million people that she'd stay in touch
But all the little promises, they don't mean much
When there's memories to be made
And I hope you're holding hands by New Year's Eve
They made it far too easy to believe
That true romance can't be achieved these days

And even if somehow they could have
Shown you the place you wanted
Well, I'm sure you could have
Made it that bit better on your own
You are the only ones who knowYou might also like41Embed"
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"Take me out tonight
Where there's music and there's people
And they're young and alive
Driving in your car
I never, never want to go home
Because I haven't got one
Anymore
Take me out tonight
Because I want to see people
And I want to see life
Driving in your car
Oh, please don't drop me home
Because it's not my home, it's their home
And I'm welcome no more
And if a double-decker bus
Crashes into us
To die by your side
Is such a heavenly way to die
And if a ten ton truck
Kills the both of us
To die by your side
Well, the pleasure, the privilege is mine
Take me out tonight
Take me anywhere, I don't care
I don't care, I don't care
And in the darkened underpass
I thought, ""Oh God, my chance has come at last""
But then a strange fear gripped me
And I just couldn't ask
Take me out tonight
Oh, take me anywhere, I don't care
I don't care, I don't care
Driving in your car
I never, never want to go home
Because I haven't got one, la-di-dum
Oh, I haven't got one
Oh, oh
And if a double-decker bus
Crashes into us
To die by your side
Is such a heavenly way to die
And if a ten ton truck
Kills the both of us
To die by your side
Well, the pleasure, the privilege is mine
Oh, there is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out"
You Broke My Heart,Current Joys,"18 ContributorsYou Broke My Heart Lyrics
Don't
Don't give up
'Cause you're crying
It isn't enough

Love
No I'm not in love
'Cause you're not worth it
You're not worth thinking of
You're not worth thinking of

Oh, run
Yeah, I saw you run
From the television
From the TELE/VISIONS
Oh, run
God I saw you run
Now I'll never never never never never never
See you again
I'll never see you again

And cry
Oh I want you to cry
For what you did to me
On that night
'Cause I'm scared
God I'm terrified
What will happen to my life?
To my life
You might also like
So don't
Give up
'Cause you tried
'Cause you tried
'Cause you tried
But it wasn't good enough

'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart
'Cause you broke my heart6Embed"
Andromeda,Weyes Blood,"63 ContributorsAndromeda Lyrics
Andromeda's a big wide open galaxy
Nothing in it for me
'Cept my heart that's lazy
Runnin' from my own life now
I'm really turnin' some time
Looking up to the sky for something I may never find

Stop calling
It's time to let me be
If you think you can save me
I dare you to try

Lift the heart from the depths it's fallen to
We all want something new
But can't seem to follow through
Something's better than nothing
Or so that I thought
Now I know it's just one dream
All these others gonna tear me apart

Love is calling
It's time to let it through
Find a love that will make you
I dare you to try
You might also like
Crazy guy
I think this is deep
Think it's meant to be
More than anything I can think of
I'm ready to try

Treat me right
I'm still a good man's daughter
Let me in if I break
And be quiet if I shatter
Gettin' tired of looking
You know that I hate the game
Don't wanna waste any more time
You know I been holdin' out

Love is calling
It's time to give to you
Something you can hold onto
I dare you to try36Embed"
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",The Smiths,"Good times for a change
See, the luck I've had
Can make a good man
Turn bad
So please, please, please
Let me, let me, let me
Let me get what I want
This time
Haven't had a dream in a long time
See, the life I've had
Can make a good man bad
So for once in my life
Let me get what I want
Lord knows, it would be the first time
Lord knows, it would be the first time"
Lonely Shade of Blue,Nick Leng,"9 ContributorsLonely Shade of Blue LyricsShe’s like the lonely shade of blue
Counting down the hours
Till the bell rings after school
So she wrote that night
Don’t fall in love with her
She said, don’t fall in love
Don’t fall in love
The timing of questions on his mind
Tore their world apart
Now the riddles keep him up
So he wrote that night
Don’t fall in love with him
He said, don’t fall in love
Don’t fall in love
I said, don’t you want to disappear?
Would you do it again?
Oh, would you take me back?
I said don’t you, baby won’t you, baby don’t you?
Would you live it again?
She’s like the mystery unsaid
Chasing every rose
With a daydream in her hand
Still holding on
You might also likeDon’t fall in love with her
She said, don’t fall in love
Don’t fall in love
I said, don’t you want to disappear?
Would you do it again?
Oh, would you take me back?
I said don’t you, baby won’t you, baby don’t you?
I said don’t you, baby won’t you, baby don’t you?
Would you live it again?
I said don’t you, don’t you, don’t you want to do it again?
I said don’t you, don’t you, don’t you want to do it again?
Again?
Don’t you want to do it again? Oh
I said don't you, don’t you, don’t you want to do it again?
She’s like the lonely shade of blue
Counting down the hours
Till the bell rings after school
So she wrote that night
Don’t fall in love with her she said
Don’t fall in love, don’t fall in love3Embed"
9 Crimes,Damien Rice,"28 Contributors9 Crimes Lyrics
Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be thinking of you

It's the wrong time
For somebody new
It's a small crime
And I got no excuse

And is that all right, yeah?
Give my gun away when it's loaded
That all right, yeah?
If you don't shoot it, how am I supposed to hold it?
That all right, yeah?
Give my gun away when it's loaded
That all right, yeah, with you?

Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be cheating on you
You might also like
It's the wrong time
She's pulling me through
It's a small crime
And I got no excuse

And is that all right, yeah?
To give my gun away when it's loaded
(Is that all right with you?)
Is that all right, yeah?
If you don't shoot it, how am I supposed to hold it?
(Is that all right with you?)
Is that all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right?
That all right with you?

That all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right, yeah?
You don't shoot it, how am I supposed to hold it?
(Is that all right with you?)
Is that all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right?
Is that all right with you?
And is that all right, yeah?
(To give my gun away when it's loaded)
Is that all right, yeah?
(You don't shoot it, how am I supposed to hold it?)
Is that all right, yeah?
(To give my gun away when it's loaded)
Is that all right? Is that all right?
Is that all right with you? No28Embed"
Don't Miss It,James Blake,"42 ContributorsTranslationsEspañolDon’t Miss It Lyrics
The world has shut me out
If I give everything I'll lose everything
Everything is about me
I am the most important thing
And you really haven't thought all those cyclical thoughts for a while?

And as it keeps going
I could never be involved
I could never really see in real time
I could never be involved
And as it keeps on going
I could avoid real time
I could ignore my busy mind
I could avoid contact with eyes
I could avoid going outside
I could avoid wasting my life
I could avoid
I could avoid 20/20 sight
I could avoid standing in line
I could avoid the 405
I could avoid coming to life
I could say anything I like
I could switch off whenever I like
I could sleep whenever I like
I could leave in the middle of the night, oh
But I'd miss it
Don't miss it
Don't miss it like I did
See James Blake LiveGet tickets as low as $48You might also like
And as it keeps going
If there's no need for the perfect image
And nothing seems that wrong
Don't miss it
When you know there's better conversation waiting for you at home
And as it keeps on going
You forget whether it was the beginning or end
When you can't believe your luck
(When you can't believe your luck)
You're with your friend
When you get to hang out with your favourite person every day
When the dull pain goes away
Don't miss it (Don't miss it)
When you stop being a ghost in a shell
And everybody keeps saying you look well
Don't miss it
Like I did
Don't miss it
Don't miss it like I did
Like I did19Embed"
Another One,Mac DeMarco,"23 ContributorsAnother One Lyrics
Feelin' so confused
You don't know what to do
Afraid she might not love you anymore
And though she says she does
And hasn't lost your trust
Who could that be knockin' at her door?

Must be another one
Must be another one she loves
Must be another one
Must be another one she loves

The feelin' never stops
And neither does the clock
Wishin' for tomorrow today
She still says she's true
So you start comin' to
Just as that old knockin' comes to stay

Must be another one
Must be another one she loves
Must be another one
Must be another one she lovesYou might also like26Embed"
Joker,Jesse®,"8 ContributorsJoker Lyrics
Can't play your game, so take me away
But without me, you're incomplete
I'm the missing piece, trick or a treat
Smile on my face, laughin' and jokin'
Usually lonely and if you hold me
I'll make you stronger, I wanna do that
Oh, it's drivin' me mad
I want what you have
Oh, what a shame, no one to blame
Without escape, tears on my face
Call me insane, put me in a box
Tell me who I am and all that I'm not
Are you confused? I know, me too
Winnin' or losin', I don't need a suit
Put me on trial and I'll tell the truth
If you want me to

Diamonds and spades, jack of all trades
I'm having trouble not finding my place
Been around kings, I had a queen
Lost in thе club with my heart on my sleeve
I can't behavе, lock me away
Learnin' to juggle and losing my faith
You might also like
Live to get ahead of the race, necessary evil
Always gonna feel out of place, room full of people
Can't play your game, I tried to change
Painted my face, made a new name
Are you entertained?Embed"
Don't Know How To Keep Loving You,Julia Jacklin,"30 ContributorsTranslationsEnglishDon’t Know How to Keep Loving You Lyrics
I wanna want you, I wanna stay here like this
I wanna feel it all every time that we kiss
I want your mother to stay friends with mine
I want this feeling to pass in time
But you know my body now and I know yours
We put so many things between these walls
And every gift you buy me, I know what's inside
What do I do now? There’s nothing left to find

Don't know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
Now that I know you so well
Don’t know how to keep loving you
Now that I know you so well
Don't know how to keep loving you

What if I cleaned up? What if I worked on my skin?
I could scrub until I am red, hot, weak, and thin
Too tired to run away, what do I do now?
There's nothing left to say

Don't know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
See Julia Jacklin LiveGet tickets as low as $84You might also like
Into the darkness, or is it the light?
Should I be waking up, or finding a place to sleep tonight?
Who will I be
Now that you're no longer next to me?

Don’t know how to keep loving you
Now that I know you so well
Don’t know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
Now that I know you so well
Don’t know how to keep loving you
Don't know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
Now that I know you so well
Don't know how to keep loving you
Now that I know you so well
I just wanna keep loving you5Embed"
Unfucktheworld,Angel Olsen,"24 ContributorsUnfucktheworld Lyrics
I quit my dreaming the moment that I found you
I started dancing just to be around you
Here's to thinking that it all meant so much more
I kept my mouth shut and opened up the door

I wanted nothing but for this to be the end
For this to never be a tired and empty hand
If all the trouble in my heart would only mend
I lost my dream, I lost my reason all again

It's not just me for you
I have to look out too
I have to save my life
I need some peace of mind
I am the only one now
I am the only one now
I am the only one now
You may not be around
You may not be around
You may not be around
I am the only one now
I am the only one now
I am the only one now
I am the only one nowSee Angel Olsen LiveGet tickets as low as $65You might also like13Embed"
Don't You Cry,Sunday Scaries,"
Don't be sad, don't you cry
Just let go of your pain (yeah)
And when you fall asleep
Know tomorrow is a new day (yeah)
Don't be sad, don't you cry
Just let go of your pain (yeah)
And when you fall asleep
Know tomorrow is a new day (yeah)
it's a new day
(Yeah, yeah)
(Yeah, yeah)
(Yeah, yeah)
(Yeah) it's a new day
Don't be sad, don't you cry
Just let go of your pain
And when you fall asleep
Know tomorrow is a new day (yeah)
Don't be sad, don't you cry
Just let go of your pain
And when you fall asleep
Know tomorrow is a new day
it's a new day
it's a new day!
"
In This Darkness,Clara La San,"15 ContributorsIn This Darkness Lyrics
I get lonely when you're not here
And this darkness appears, leaving me stranded
My hope washes down
You never lived here
And I never found whatever I did

There's a million things
There's a million things I could say
But you never really knew that
But you never really knew I felt this way
Wanna take it back
Wanna take it back to when we
Had it just like that
Had it right on track

And I keep falling in this darkness
And therе's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And thеre's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up
You might also like
I never had
Thoughts that control me
Until something bad
Left me so lonely
And I want it back
I want the old me
I'm trying to forget
But things just remind me

There's a million things
There's a million things I could say
But you never really knew that
But you never really knew I felt this way
Wanna take it back
Wanna take it back to when we
Had it just like that
Had it right on track

And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up
There's a million things
There's a million things I could say
But you never really knew that
But you never really knew I felt this way
Wanna take it back
Wanna take it back to when we
Had it just like that
Had it right on track
There's a million things
There's a million things I could say
But you never really knew that
But you never really knew I felt this way
Wanna take it back
Wanna take it back to when we
Had it just like that
Had it right on track

And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up, yeah
And I keep falling in this darkness
And there's no one to light it up
To bright it up1Embed"
Not You,Alan Walker,"13 ContributorsTranslationsBahasa MelayuNot You Lyrics
In my life, in my mind
Where I make up stories all the time
And I pretend that I am not someone
Left to face the world alone
Lately I'm not the same
I've found a stranger calling out my name
Have a feeling you would be so proud
And he's gon' need me now

But he's not you
He's not you
He will never be you

Photobook with my mistakes
Promises that we never got to make
All the things I wanna talk about
Hard to say it to myself
Wintertime, once again
In the snow I can see just where I've been
How far I've made it in the world so cold
Where I have everything

But he's not you
He's not you
He will never be you
But he's not you
He's not you
He will never be you
You might also like
(You, you, you)Embed"
